Magnitud,Fecha,Valor
Total Nacional,1764543600000,119.942
Total Nacional,1761951600000,119.532
Total Nacional,1759269600000,119.301
Total Nacional,1756677600000,118.485
Total Nacional,1753999200000,118.824
Total Nacional,1751320800000,118.777
Total Nacional,1748728800000,118.867
Total Nacional,1746050400000,118.077
Total Nacional,1743458400000,117.997
Total Nacional,1740783600000,117.26
Total Nacional,1738364400000,117.191
Total Nacional,1735686000000,116.733
Total Nacional,1764543600000,0.3
Total Nacional,1761951600000,0.2
Total Nacional,1759269600000,0.7
Total Nacional,1756677600000,-0.3
Total Nacional,1753999200000,0.0
Total Nacional,1751320800000,-0.1
Total Nacional,1748728800000,0.7
Total Nacional,1746050400000,0.1
Total Nacional,1743458400000,0.6
Total Nacional,1740783600000,0.1
Total Nacional,1738364400000,0.4
Total Nacional,1735686000000,0.2
Total Nacional,1764543600000,2.9
Total Nacional,1761951600000,3.0
Total Nacional,1759269600000,3.1
Total Nacional,1756677600000,3.0
Total Nacional,1753999200000,2.7
Total Nacional,1751320800000,2.7
Total Nacional,1748728800000,2.3
Total Nacional,1746050400000,2.0
Total Nacional,1743458400000,2.2
Total Nacional,1740783600000,2.3
Total Nacional,1738364400000,3.0
Total Nacional,1735686000000,2.9
Total Nacional,1764543600000,2.9
Total Nacional,1761951600000,2.6
Total Nacional,1759269600000,2.4
Total Nacional,1756677600000,1.7
Total Nacional,1753999200000,2.0
Total Nacional,1751320800000,1.9
Total Nacional,1748728800000,2.0
Total Nacional,1746050400000,1.3
Total Nacional,1743458400000,1.3
Total Nacional,1740783600000,0.6
Total Nacional,1738364400000,0.6
Total Nacional,1735686000000,0.2
Total Nacional,1764543600000,133.887
Total Nacional,1761951600000,133.626
Total Nacional,1759269600000,133.195
Total Nacional,1756677600000,131.323
Total Nacional,1753999200000,131.511
Total Nacional,1751320800000,132.529
Total Nacional,1748728800000,133.046
Total Nacional,1746050400000,132.583
Total Nacional,1743458400000,131.966
Total Nacional,1740783600000,131.535
Total Nacional,1738364400000,131.159
Total Nacional,1735686000000,130.732
Total Nacional,1764543600000,0.2
Total Nacional,1761951600000,0.3
Total Nacional,1759269600000,1.4
Total Nacional,1756677600000,-0.1
Total Nacional,1753999200000,-0.8
Total Nacional,1751320800000,-0.4
Total Nacional,1748728800000,0.3
Total Nacional,1746050400000,0.5
Total Nacional,1743458400000,0.3
Total Nacional,1740783600000,0.3
Total Nacional,1738364400000,0.3
Total Nacional,1735686000000,0.6
Total Nacional,1764543600000,3.0
Total Nacional,1761951600000,2.8
Total Nacional,1759269600000,2.4
Total Nacional,1756677600000,2.4
Total Nacional,1753999200000,2.3
Total Nacional,1751320800000,2.7
Total Nacional,1748728800000,2.8
Total Nacional,1746050400000,2.5
Total Nacional,1743458400000,2.0
Total Nacional,1740783600000,2.4
Total Nacional,1738364400000,2.2
Total Nacional,1735686000000,1.8
Total Nacional,1764543600000,3.0
Total Nacional,1761951600000,2.8
Total Nacional,1759269600000,2.5
Total Nacional,1756677600000,1.0
Total Nacional,1753999200000,1.2
Total Nacional,1751320800000,1.9
Total Nacional,1748728800000,2.3
Total Nacional,1746050400000,2.0
Total Nacional,1743458400000,1.5
Total Nacional,1740783600000,1.2
Total Nacional,1738364400000,0.9
Total Nacional,1735686000000,0.6
Total Nacional,1764543600000,122.409
Total Nacional,1761951600000,121.572
Total Nacional,1759269600000,121.342
Total Nacional,1756677600000,121.229
Total Nacional,1753999200000,121.016
Total Nacional,1751320800000,121.043
Total Nacional,1748728800000,121.163
Total Nacional,1746050400000,120.629
Total Nacional,1743458400000,119.454
Total Nacional,1740783600000,119.727
Total Nacional,1738364400000,119.479
Total Nacional,1735686000000,119.217
Total Nacional,1764543600000,0.7
Total Nacional,1761951600000,0.2
Total Nacional,1759269600000,0.1
Total Nacional,1756677600000,0.2
Total Nacional,1753999200000,0.0
Total Nacional,1751320800000,-0.1
Total Nacional,1748728800000,0.4
Total Nacional,1746050400000,1.0
Total Nacional,1743458400000,-0.2
Total Nacional,1740783600000,0.2
Total Nacional,1738364400000,0.2
Total Nacional,1735686000000,1.6
Total Nacional,1764543600000,4.4
Total Nacional,1761951600000,4.3
Total Nacional,1759269600000,4.1
Total Nacional,1756677600000,4.2
Total Nacional,1753999200000,4.2
Total Nacional,1751320800000,4.1
Total Nacional,1748728800000,4.3
Total Nacional,1746050400000,3.6
Total Nacional,1743458400000,2.6
Total Nacional,1740783600000,3.1
Total Nacional,1738364400000,3.0
Total Nacional,1735686000000,4.3
Total Nacional,1764543600000,4.4
Total Nacional,1761951600000,3.6
Total Nacional,1759269600000,3.4
Total Nacional,1756677600000,3.4
Total Nacional,1753999200000,3.2
Total Nacional,1751320800000,3.2
Total Nacional,1748728800000,3.3
Total Nacional,1746050400000,2.8
Total Nacional,1743458400000,1.8
Total Nacional,1740783600000,2.1
Total Nacional,1738364400000,1.9
Total Nacional,1735686000000,1.6
Total Nacional,1764543600000,113.894
Total Nacional,1761951600000,114.872
Total Nacional,1759269600000,110.503
Total Nacional,1756677600000,102.14
Total Nacional,1753999200000,99.679
Total Nacional,1751320800000,100.675
Total Nacional,1748728800000,110.936
Total Nacional,1746050400000,111.877
Total Nacional,1743458400000,109.174
Total Nacional,1740783600000,101.829
Total Nacional,1738364400000,99.363
Total Nacional,1735686000000,100.922
Total Nacional,1764543600000,-0.9
Total Nacional,1761951600000,4.0
Total Nacional,1759269600000,8.2
Total Nacional,1756677600000,2.5
Total Nacional,1753999200000,-1.0
Total Nacional,1751320800000,-9.2
Total Nacional,1748728800000,-0.8
Total Nacional,1746050400000,2.5
Total Nacional,1743458400000,7.2
Total Nacional,1740783600000,2.5
Total Nacional,1738364400000,-1.5
Total Nacional,1735686000000,-11.2
Total Nacional,1764543600000,0.2
Total Nacional,1761951600000,0.3
Total Nacional,1759269600000,0.5
Total Nacional,1756677600000,0.8
Total Nacional,1753999200000,0.7
Total Nacional,1751320800000,0.8
Total Nacional,1748728800000,0.5
Total Nacional,1746050400000,0.5
Total Nacional,1743458400000,0.3
Total Nacional,1740783600000,0.2
Total Nacional,1738364400000,0.1
Total Nacional,1735686000000,-0.1
Total Nacional,1764543600000,0.2
Total Nacional,1761951600000,1.1
Total Nacional,1759269600000,-2.8
Total Nacional,1756677600000,-10.1
Total Nacional,1753999200000,-12.3
Total Nacional,1751320800000,-11.4
Total Nacional,1748728800000,-2.4
Total Nacional,1746050400000,-1.6
Total Nacional,1743458400000,-3.9
Total Nacional,1740783600000,-10.4
Total Nacional,1738364400000,-12.6
Total Nacional,1735686000000,-11.2
Total Nacional,1764543600000,115.098
Total Nacional,1761951600000,114.444
Total Nacional,1759269600000,114.65
Total Nacional,1756677600000,113.575
Total Nacional,1753999200000,113.134
Total Nacional,1751320800000,113.161
Total Nacional,1748728800000,112.551
Total Nacional,1746050400000,111.216
Total Nacional,1743458400000,110.786
Total Nacional,1740783600000,111.805
Total Nacional,1738364400000,113.596
Total Nacional,1735686000000,113.047
Total Nacional,1764543600000,0.6
Total Nacional,1761951600000,-0.2
Total Nacional,1759269600000,0.9
Total Nacional,1756677600000,0.4
Total Nacional,1753999200000,0.0
Total Nacional,1751320800000,0.5
Total Nacional,1748728800000,1.2
Total Nacional,1746050400000,0.4
Total Nacional,1743458400000,-0.9
Total Nacional,1740783600000,-1.6
Total Nacional,1738364400000,0.5
Total Nacional,1735686000000,3.8
Total Nacional,1764543600000,5.7
Total Nacional,1761951600000,5.7
Total Nacional,1759269600000,7.5
Total Nacional,1756677600000,7.1
Total Nacional,1753999200000,6.0
Total Nacional,1751320800000,6.7
Total Nacional,1748728800000,4.2
Total Nacional,1746050400000,3.8
Total Nacional,1743458400000,4.2
Total Nacional,1740783600000,5.7
Total Nacional,1738364400000,9.8
Total Nacional,1735686000000,7.9
Total Nacional,1764543600000,5.7
Total Nacional,1761951600000,5.1
Total Nacional,1759269600000,5.3
Total Nacional,1756677600000,4.3
Total Nacional,1753999200000,3.9
Total Nacional,1751320800000,3.9
Total Nacional,1748728800000,3.3
Total Nacional,1746050400000,2.1
Total Nacional,1743458400000,1.7
Total Nacional,1740783600000,2.6
Total Nacional,1738364400000,4.3
Total Nacional,1735686000000,3.8
Total Nacional,1764543600000,113.874
Total Nacional,1761951600000,113.995
Total Nacional,1759269600000,113.704
Total Nacional,1756677600000,113.304
Total Nacional,1753999200000,113.169
Total Nacional,1751320800000,113.164
Total Nacional,1748728800000,113.644
Total Nacional,1746050400000,113.523
Total Nacional,1743458400000,113.255
Total Nacional,1740783600000,113.014
Total Nacional,1738364400000,112.7
Total Nacional,1735686000000,112.638
Total Nacional,1764543600000,-0.1
Total Nacional,1761951600000,0.3
Total Nacional,1759269600000,0.4
Total Nacional,1756677600000,0.1
Total Nacional,1753999200000,0.0
Total Nacional,1751320800000,-0.4
Total Nacional,1748728800000,0.1
Total Nacional,1746050400000,0.2
Total Nacional,1743458400000,0.2
Total Nacional,1740783600000,0.3
Total Nacional,1738364400000,0.1
Total Nacional,1735686000000,-0.4
Total Nacional,1764543600000,0.7
Total Nacional,1761951600000,1.0
Total Nacional,1759269600000,0.9
Total Nacional,1756677600000,0.8
Total Nacional,1753999200000,0.8
Total Nacional,1751320800000,0.9
Total Nacional,1748728800000,0.7
Total Nacional,1746050400000,0.6
Total Nacional,1743458400000,0.5
Total Nacional,1740783600000,0.6
Total Nacional,1738364400000,0.5
Total Nacional,1735686000000,0.6
Total Nacional,1764543600000,0.7
Total Nacional,1761951600000,0.8
Total Nacional,1759269600000,0.6
Total Nacional,1756677600000,0.2
Total Nacional,1753999200000,0.1
Total Nacional,1751320800000,0.1
Total Nacional,1748728800000,0.5
Total Nacional,1746050400000,0.4
Total Nacional,1743458400000,0.2
Total Nacional,1740783600000,0.0
Total Nacional,1738364400000,-0.3
Total Nacional,1735686000000,-0.4
Total Nacional,1764543600000,108.075
Total Nacional,1761951600000,107.9
Total Nacional,1759269600000,107.786
Total Nacional,1756677600000,107.615
Total Nacional,1753999200000,107.515
Total Nacional,1751320800000,107.507
Total Nacional,1748728800000,107.368
Total Nacional,1746050400000,107.19
Total Nacional,1743458400000,107.044
Total Nacional,1740783600000,106.634
Total Nacional,1738364400000,106.247
Total Nacional,1735686000000,106.028
Total Nacional,1764543600000,0.2
Total Nacional,1761951600000,0.1
Total Nacional,1759269600000,0.2
Total Nacional,1756677600000,0.1
Total Nacional,1753999200000,0.0
Total Nacional,1751320800000,0.1
Total Nacional,1748728800000,0.2
Total Nacional,1746050400000,0.1
Total Nacional,1743458400000,0.4
Total Nacional,1740783600000,0.4
Total Nacional,1738364400000,0.2
Total Nacional,1735686000000,0.3
Total Nacional,1764543600000,2.3
Total Nacional,1761951600000,2.2
Total Nacional,1759269600000,2.2
Total Nacional,1756677600000,2.0
Total Nacional,1753999200000,2.0
Total Nacional,1751320800000,2.0
Total Nacional,1748728800000,2.1
Total Nacional,1746050400000,1.9
Total Nacional,1743458400000,2.0
Total Nacional,1740783600000,1.9
Total Nacional,1738364400000,1.9
Total Nacional,1735686000000,2.0
Total Nacional,1764543600000,2.3
Total Nacional,1761951600000,2.1
Total Nacional,1759269600000,2.0
Total Nacional,1756677600000,1.8
Total Nacional,1753999200000,1.7
Total Nacional,1751320800000,1.7
Total Nacional,1748728800000,1.6
Total Nacional,1746050400000,1.4
Total Nacional,1743458400000,1.3
Total Nacional,1740783600000,0.9
Total Nacional,1738364400000,0.5
Total Nacional,1735686000000,0.3
Total Nacional,1764543600000,113.883
Total Nacional,1761951600000,114.016
Total Nacional,1759269600000,113.453
Total Nacional,1756677600000,113.11
Total Nacional,1753999200000,113.944
Total Nacional,1751320800000,113.721
Total Nacional,1748728800000,112.302
Total Nacional,1746050400000,111.324
Total Nacional,1743458400000,112.476
Total Nacional,1740783600000,112.65
Total Nacional,1738364400000,113.394
Total Nacional,1735686000000,112.727
Total Nacional,1764543600000,-0.1
Total Nacional,1761951600000,0.5
Total Nacional,1759269600000,0.3
Total Nacional,1756677600000,-0.7
Total Nacional,1753999200000,0.2
Total Nacional,1751320800000,1.3
Total Nacional,1748728800000,0.9
Total Nacional,1746050400000,-1.0
Total Nacional,1743458400000,-0.2
Total Nacional,1740783600000,-0.7
Total Nacional,1738364400000,0.6
Total Nacional,1735686000000,0.8
Total Nacional,1764543600000,1.8
Total Nacional,1761951600000,2.3
Total Nacional,1759269600000,2.4
Total Nacional,1756677600000,2.2
Total Nacional,1753999200000,1.2
Total Nacional,1751320800000,0.2
Total Nacional,1748728800000,-0.8
Total Nacional,1746050400000,-2.0
Total Nacional,1743458400000,-1.6
Total Nacional,1740783600000,-0.9
Total Nacional,1738364400000,0.3
Total Nacional,1735686000000,1.3
Total Nacional,1764543600000,1.8
Total Nacional,1761951600000,1.9
Total Nacional,1759269600000,1.4
Total Nacional,1756677600000,1.1
Total Nacional,1753999200000,1.9
Total Nacional,1751320800000,1.7
Total Nacional,1748728800000,0.4
Total Nacional,1746050400000,-0.5
Total Nacional,1743458400000,0.6
Total Nacional,1740783600000,0.7
Total Nacional,1738364400000,1.4
Total Nacional,1735686000000,0.8
Total Nacional,1764543600000,102.335
Total Nacional,1761951600000,102.491
Total Nacional,1759269600000,102.628
Total Nacional,1756677600000,102.624
Total Nacional,1753999200000,102.691
Total Nacional,1751320800000,102.587
Total Nacional,1748728800000,104.447
Total Nacional,1746050400000,104.431
Total Nacional,1743458400000,104.608
Total Nacional,1740783600000,104.414
Total Nacional,1738364400000,104.479
Total Nacional,1735686000000,103.782
Total Nacional,1764543600000,-0.2
Total Nacional,1761951600000,-0.1
Total Nacional,1759269600000,0.0
Total Nacional,1756677600000,-0.1
Total Nacional,1753999200000,0.1
Total Nacional,1751320800000,-1.8
Total Nacional,1748728800000,0.0
Total Nacional,1746050400000,-0.2
Total Nacional,1743458400000,0.2
Total Nacional,1740783600000,-0.1
Total Nacional,1738364400000,0.7
Total Nacional,1735686000000,3.0
Total Nacional,1764543600000,1.5
Total Nacional,1761951600000,1.7
Total Nacional,1759269600000,1.8
Total Nacional,1756677600000,0.9
Total Nacional,1753999200000,0.8
Total Nacional,1751320800000,0.6
Total Nacional,1748728800000,2.0
Total Nacional,1746050400000,2.0
Total Nacional,1743458400000,2.1
Total Nacional,1740783600000,2.0
Total Nacional,1738364400000,2.0
Total Nacional,1735686000000,1.2
Total Nacional,1764543600000,1.5
Total Nacional,1761951600000,1.7
Total Nacional,1759269600000,1.8
Total Nacional,1756677600000,1.8
Total Nacional,1753999200000,1.9
Total Nacional,1751320800000,1.8
Total Nacional,1748728800000,3.6
Total Nacional,1746050400000,3.6
Total Nacional,1743458400000,3.8
Total Nacional,1740783600000,3.6
Total Nacional,1738364400000,3.7
Total Nacional,1735686000000,3.0
Total Nacional,1764543600000,112.384
Total Nacional,1761951600000,109.319
Total Nacional,1759269600000,109.773
Total Nacional,1756677600000,110.657
Total Nacional,1753999200000,115.551
Total Nacional,1751320800000,113.844
Total Nacional,1748728800000,111.958
Total Nacional,1746050400000,109.503
Total Nacional,1743458400000,111.567
Total Nacional,1740783600000,108.752
Total Nacional,1738364400000,108.691
Total Nacional,1735686000000,108.138
Total Nacional,1764543600000,2.8
Total Nacional,1761951600000,-0.4
Total Nacional,1759269600000,-0.8
Total Nacional,1756677600000,-4.2
Total Nacional,1753999200000,1.5
Total Nacional,1751320800000,1.7
Total Nacional,1748728800000,2.2
Total Nacional,1746050400000,-1.9
Total Nacional,1743458400000,2.6
Total Nacional,1740783600000,0.1
Total Nacional,1738364400000,0.5
Total Nacional,1735686000000,-3.3
Total Nacional,1764543600000,0.5
Total Nacional,1761951600000,1.2
Total Nacional,1759269600000,0.1
Total Nacional,1756677600000,0.6
Total Nacional,1753999200000,0.7
Total Nacional,1751320800000,0.6
Total Nacional,1748728800000,0.5
Total Nacional,1746050400000,0.5
Total Nacional,1743458400000,2.7
Total Nacional,1740783600000,-0.3
Total Nacional,1738364400000,1.4
Total Nacional,1735686000000,1.9
Total Nacional,1764543600000,0.5
Total Nacional,1761951600000,-2.2
Total Nacional,1759269600000,-1.8
Total Nacional,1756677600000,-1.0
Total Nacional,1753999200000,3.4
Total Nacional,1751320800000,1.8
Total Nacional,1748728800000,0.1
Total Nacional,1746050400000,-2.0
Total Nacional,1743458400000,-0.2
Total Nacional,1740783600000,-2.7
Total Nacional,1738364400000,-2.8
Total Nacional,1735686000000,-3.3
Total Nacional,1764543600000,110.694
Total Nacional,1761951600000,110.657
Total Nacional,1759269600000,110.39
Total Nacional,1756677600000,109.648
Total Nacional,1753999200000,108.099
Total Nacional,1751320800000,108.07
Total Nacional,1748728800000,108.014
Total Nacional,1746050400000,108.018
Total Nacional,1743458400000,107.985
Total Nacional,1740783600000,107.971
Total Nacional,1738364400000,107.943
Total Nacional,1735686000000,107.894
Total Nacional,1764543600000,0.0
Total Nacional,1761951600000,0.2
Total Nacional,1759269600000,0.7
Total Nacional,1756677600000,1.4
Total Nacional,1753999200000,0.0
Total Nacional,1751320800000,0.1
Total Nacional,1748728800000,0.0
Total Nacional,1746050400000,0.0
Total Nacional,1743458400000,0.0
Total Nacional,1740783600000,0.0
Total Nacional,1738364400000,0.0
Total Nacional,1735686000000,0.0
Total Nacional,1764543600000,2.6
Total Nacional,1761951600000,2.6
Total Nacional,1759269600000,2.5
Total Nacional,1756677600000,2.8
Total Nacional,1753999200000,2.6
Total Nacional,1751320800000,2.5
Total Nacional,1748728800000,2.5
Total Nacional,1746050400000,2.5
Total Nacional,1743458400000,2.5
Total Nacional,1740783600000,2.5
Total Nacional,1738364400000,2.5
Total Nacional,1735686000000,2.5
Total Nacional,1764543600000,2.6
Total Nacional,1761951600000,2.6
Total Nacional,1759269600000,2.3
Total Nacional,1756677600000,1.6
Total Nacional,1753999200000,0.2
Total Nacional,1751320800000,0.2
Total Nacional,1748728800000,0.1
Total Nacional,1746050400000,0.1
Total Nacional,1743458400000,0.1
Total Nacional,1740783600000,0.1
Total Nacional,1738364400000,0.1
Total Nacional,1735686000000,0.0
Total Nacional,1764543600000,125.643
Total Nacional,1761951600000,125.45
Total Nacional,1759269600000,126.092
Total Nacional,1756677600000,126.244
Total Nacional,1753999200000,125.93
Total Nacional,1751320800000,125.544
Total Nacional,1748728800000,125.059
Total Nacional,1746050400000,124.401
Total Nacional,1743458400000,123.753
Total Nacional,1740783600000,122.246
Total Nacional,1738364400000,121.112
Total Nacional,1735686000000,120.236
Total Nacional,1764543600000,0.2
Total Nacional,1761951600000,-0.5
Total Nacional,1759269600000,-0.1
Total Nacional,1756677600000,0.2
Total Nacional,1753999200000,0.3
Total Nacional,1751320800000,0.4
Total Nacional,1748728800000,0.5
Total Nacional,1746050400000,0.5
Total Nacional,1743458400000,1.2
Total Nacional,1740783600000,0.9
Total Nacional,1738364400000,0.7
Total Nacional,1735686000000,0.1
Total Nacional,1764543600000,4.6
Total Nacional,1761951600000,4.5
Total Nacional,1759269600000,4.4
Total Nacional,1756677600000,4.3
Total Nacional,1753999200000,4.3
Total Nacional,1751320800000,4.2
Total Nacional,1748728800000,4.1
Total Nacional,1746050400000,4.3
Total Nacional,1743458400000,4.5
Total Nacional,1740783600000,4.1
Total Nacional,1738364400000,4.1
Total Nacional,1735686000000,4.3
Total Nacional,1764543600000,4.6
Total Nacional,1761951600000,4.4
Total Nacional,1759269600000,4.9
Total Nacional,1756677600000,5.1
Total Nacional,1753999200000,4.8
Total Nacional,1751320800000,4.5
Total Nacional,1748728800000,4.1
Total Nacional,1746050400000,3.5
Total Nacional,1743458400000,3.0
Total Nacional,1740783600000,1.7
Total Nacional,1738364400000,0.8
Total Nacional,1735686000000,0.1
Total Nacional,1764543600000,117.044
Total Nacional,1761951600000,116.928
Total Nacional,1759269600000,116.62
Total Nacional,1756677600000,116.343
Total Nacional,1753999200000,116.322
Total Nacional,1751320800000,116.133
Total Nacional,1748728800000,116.466
Total Nacional,1746050400000,115.462
Total Nacional,1743458400000,115.282
Total Nacional,1740783600000,115.008
Total Nacional,1738364400000,114.577
Total Nacional,1735686000000,113.954
Total Nacional,1764543600000,0.1
Total Nacional,1761951600000,0.3
Total Nacional,1759269600000,0.2
Total Nacional,1756677600000,0.0
Total Nacional,1753999200000,0.2
Total Nacional,1751320800000,-0.3
Total Nacional,1748728800000,0.9
Total Nacional,1746050400000,0.2
Total Nacional,1743458400000,0.2
Total Nacional,1740783600000,0.4
Total Nacional,1738364400000,0.5
Total Nacional,1735686000000,0.7
Total Nacional,1764543600000,3.4
Total Nacional,1761951600000,3.4
Total Nacional,1759269600000,3.4
Total Nacional,1756677600000,3.5
Total Nacional,1753999200000,3.4
Total Nacional,1751320800000,3.4
Total Nacional,1748728800000,3.5
Total Nacional,1746050400000,3.6
Total Nacional,1743458400000,3.6
Total Nacional,1740783600000,3.8
Total Nacional,1738364400000,3.6
Total Nacional,1735686000000,3.7
Total Nacional,1764543600000,3.4
Total Nacional,1761951600000,3.3
Total Nacional,1759269600000,3.0
Total Nacional,1756677600000,2.8
Total Nacional,1753999200000,2.8
Total Nacional,1751320800000,2.6
Total Nacional,1748728800000,2.9
Total Nacional,1746050400000,2.0
Total Nacional,1743458400000,1.8
Total Nacional,1740783600000,1.6
Total Nacional,1738364400000,1.2
Total Nacional,1735686000000,0.7
